Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
TGT,Target Corp,131.09,0.37,0.28%,131.26,128.92,4236493,14:34 ET
TJX,TJX Companies,124.82,-1.37,-1.09%,126.8,124.25,1835847,14:35 ET
TMUS,T-Mobile US,245.07,0.25,0.10%,246.15,243.685,1482397,14:34 ET
TPR,Tapestry Inc,64.31,-0.27,-0.42%,65.2977,63.68,1809747,14:34 ET
TRGP,Targa Resources,198.24,3.7,1.90%,197.54,194.61,767604,14:35 ET
TROW,T Rowe Price Group,123.24,-0.4,-0.32%,124.25,121.91,460828,14:32 ET
TRV,The Travelers Companies Inc,261.82,-1.69,-0.64%,264.91,260.42,303754,14:34 ET
TSCO,Tractor Supply Company,285.01,-5.26,-1.81%,289.55,282.83,507507,14:35 ET
TSLA,Tesla Inc,349.1,-7.99,-2.24%,355.69,348.2,43195524,14:35 ET
TSN,Tyson Foods,64.29,-0.05,-0.08%,64.56,63.9,921261,14:35 ET
TT,Trane Technologies Plc,411.75,-3.04,-0.73%,414.912,408.04,693606,14:33 ET
TTWO,Take-Two Interactive,187.66,-0.29,-0.15%,188.38,186.935,387947,14:35 ET
UBER,Uber Technologies Inc,71.64,-1.43,-1.96%,73.25,71.57,6438923,14:35 ET
UDR,United Dominion Realty Trust,45.03,-0.27,-0.60%,45.43,44.84,304416,14:34 ET
ULTA,Ulta Beauty Inc,394.67,0.61,0.15%,395.2199,389.1,514345,14:35 ET
UNH,Unitedhealth Group Inc,607.02,-1.5,-0.25%,615.75,604.82,1153697,14:35 ET
UNP,Union Pacific Corp,237.43,-3.35,-1.39%,241.73,235.11,2439863,14:34 ET
UPS,United Parcel Service,129.74,-4.28,-3.19%,134.21,129.665,3426708,14:35 ET
URI,United Rentals,863.89,6.84,0.80%,863.21,851.135,238425,14:34 ET
USB,U.S. Bancorp,52.21,-0.56,-1.06%,52.885,51.83,3033007,14:34 ET
V,Visa Inc,314.46,-2.19,-0.69%,317.32,312.77,2419362,14:35 ET
VLO,Valero Energy Corp,138.46,-1.68,-1.20%,142.1,138.265,959825,14:33 ET
VRSK,Verisk Analytics Inc,287.77,-4.93,-1.68%,292.375,285.075,375989,14:34 ET
VTR,Ventas Inc,63.03,0.77,1.24%,63.25,62.25,951330,14:34 ET
WAB,Wabtec Corp,200.21,0.43,0.22%,200.52,197.8401,875471,14:34 ET
WAT,Waters Corp,385.16,-1.94,-0.50%,388,380.52,149473,14:35 ET
WBA,Walgreens Boots Alliance,8.99,0.01,0.11%,9.06,8.79,8656998,14:29 ET
WDC,Western Digital Corp,70.85,-2.58,-3.51%,74.11,70.19,3426411,14:34 ET
WELL,Welltower Inc,133.53,-0.5,-0.37%,134.38,132.65,810771,14:34 ET
WM,Waste Management,225.63,0.51,0.23%,226.01,224.5,1236048,14:34 ET
WMB,Williams Companies,56.69,0.24,0.43%,56.91,56.2,3244484,14:35 ET
WMT,Walmart Inc,93.47,0.83,0.90%,93.55,92.26,9493714,14:35 ET
WTW,Willis Towers Watson Public Ltd,327.37,6.87,2.14%,326.71,319.35,521535,14:33 ET
WY,Weyerhaeuser Company,31.75,-0.22,-0.69%,32.1,31.6,817981,14:32 ET
WYNN,Wynn Resorts Ltd,93.92,-2.24,-2.33%,95.55,93.23,1703798,14:35 ET
XOM,Exxon Mobil Corp,118.21,0.36,0.31%,118.72,117.255,5293420,14:34 ET
XYL,Xylem Inc,127.84,0.83,0.65%,128,125.86,530209,14:33 ET
YUM,Yum! Brands,138.7,-0.33,-0.24%,139.49,137.7,396875,14:34 ET
ZBH,Zimmer Biomet Holdings,110.55,0.05,0.05%,111.1,109.09,517717,14:32 ET
ZTS,Zoetis Inc Cl A,178.22,1.41,0.80%,181.4,176.555,1381756,14:35 ET
